review_id,product_id,product_name,category_keyword,rating,title,text,full_text,submission_time,bert_pred,bert_confidence,dominant_topic,topic_probability
172718542,7260789-P,Starbucks Caffé Latte Flavoured Milk Iced Coffee 220ml,milk,2,OK but expensive,My wife buys chilled coffee. Bought this on offer and decided it wasn't her favourite taste. Quite weak. Won't buy again.,OK but expensive. My wife buys chilled coffee. Bought this on offer and decided it wasn't her favourite taste. Quite weak. Won't buy again.,2025-03-17 16:12:48+00:00,negative,0.8852294087409973,3,0.74388945
172055921,7260789-P,Starbucks Caffé Latte Flavoured Milk Iced Coffee 220ml,milk,3,Sadly too sweet,"Ruined what could be nice with sweetness,why does it have to have any sweetness!?","Sadly too sweet. Ruined what could be nice with sweetness,why does it have to have any sweetness!?",2025-02-13 19:53:25+00:00,negative,0.9208272099494934,2,0.9063097
165162660,7851171-P,Biotiful Gut Health Kefir Milk Drink Cherry 500ml,milk,1,Garbage,A very disappointing drink that had coagulated before the use by date . . Therefore my assessment is that it is a waste of money and to be avoided !,Garbage. A very disappointing drink that had coagulated before the use by date . . Therefore my assessment is that it is a waste of money and to be avoided !,2024-04-27 17:56:19+00:00,negative,0.9428983330726624,3,0.60798675
154504623,7490374-P,Starbucks Frappuccino Mocha Chocolate Flavoured Milk Iced Coffee 250ml,milk,3,Bitter taste,"I drank this whisky chilled, and was ok, but had a bitter aftertaste. This was bought as part of a promotion.","Bitter taste. I drank this whisky chilled, and was ok, but had a bitter aftertaste. This was bought as part of a promotion.",2023-02-16 22:15:24+00:00,negative,0.8459405899047852,1,0.57087946
165437625,7358062-P,Starbucks Caramel Macchiato Flavoured Milk Iced Coffee 220ml,milk,3,Too sweet,"This one isnt as good as some of the others, a bit too sweet and not strong enough for my taste, good sized though","Too sweet. This one isnt as good as some of the others, a bit too sweet and not strong enough for my taste, good sized though",2024-05-10 15:59:06+00:00,negative,0.8376079797744751,3,0.54377127
170478780,7697653-P,Starbucks Skinny Latte Lactose Free Flavoured Milk Iced Coffee 220ml,milk,3,OK but not great,Not as expensive as a Starbucks but still expensive. Handy to keep in the fridge for an on-the-go drink. Not impressed with the taste.,OK but not great. Not as expensive as a Starbucks but still expensive. Handy to keep in the fridge for an on-the-go drink. Not impressed with the taste.,2024-12-10 20:01:05+00:00,negative,0.9040790796279908,3,0.61952055
165494445,7697653-P,Starbucks Skinny Latte Lactose Free Flavoured Milk Iced Coffee 220ml,milk,1,Skinny latte lactose free,Not really for me. I didn't like it at all and didn't finish it,Skinny latte lactose free. Not really for me. I didn't like it at all and didn't finish it,2024-05-13 17:54:00+00:00,negative,0.9089974164962769,1,0.8479606
165203405,8032220-P,Yazoo Chocolate Milk Drink 1L,milk,1,Disgusting,"Absolutely no taste of chocolate, leaves a powdery taste in the mouth and is the consistency of water","Disgusting. Absolutely no taste of chocolate, leaves a powdery taste in the mouth and is the consistency of water",2024-04-29 16:00:05+00:00,negative,0.9149481654167176,0,0.47137755
169930171,7896196-P,Yazoo Strawberry Milk Drink 400ml,milk,1,Overpriced yuk!,"This used to be addictive, thick and creamy and delicious, now it barely resembles a milk shake. Overpriced Yuk! I can't even finish the small bottles in the fridge, they are that unappetizing. It gets one star as it has no nasty additives or preservatives in it, so for that it gets one star.","Overpriced yuk!. This used to be addictive, thick and creamy and delicious, now it barely resembles a milk shake. Overpriced Yuk! I can't even finish the small bottles in the fridge, they are that unappetizing. It gets one star as it has no nasty additives or preservatives in it, so for that it gets one star.",2024-11-18 19:44:23+00:00,negative,0.8354483842849731,1,0.61212105
169315255,8173870-P,Arla Protein 482ml Chocolate Milk Shake,milk,3,Not the best flavour,"I have tried quite a few different brands of these protein shakes and I will not be trying this one again. It had a bitter after taste and I couldn't even finish the bottle. It had a synthetic chocolate taste, I guess that's because it is long life and cheaper than other similar products.","Not the best flavour. I have tried quite a few different brands of these protein shakes and I will not be trying this one again. It had a bitter after taste and I couldn't even finish the bottle. It had a synthetic chocolate taste, I guess that's because it is long life and cheaper than other similar products.",2024-10-21 17:17:34+00:00,negative,0.9122303128242492,3,0.3308336
164466396,8173870-P,Arla Protein 482ml Chocolate Milk Shake,milk,3,Mediocre,This was purchased as part of a promotion. I didn't find this exciting at all. There are far better alternatives out there. Not for me.,Mediocre. This was purchased as part of a promotion. I didn't find this exciting at all. There are far better alternatives out there. Not for me.,2024-03-27 06:54:08+00:00,negative,0.9262831211090088,3,0.6301149
162480910,8173870-P,Arla Protein 482ml Chocolate Milk Shake,milk,2,Not a nice taste,This was not nice on opening the smell was good a real chocolate smell but on tasting in tasted somehow less like chocolate and left an aftertaste in my mouth,Not a nice taste. This was not nice on opening the smell was good a real chocolate smell but on tasting in tasted somehow less like chocolate and left an aftertaste in my mouth,2024-01-01 14:24:38+00:00,negative,0.8978025317192078,1,0.71126914
178065285,8156803-P,Yazoo Banana Milk Drink 400ml,milk,2,Expensive,Ridiculously expensive. I carelessly thought I was buying my usual 1000ml. In fact the 1000ml bottle was on offer and actually cheaper than this 400ml.,Expensive. Ridiculously expensive. I carelessly thought I was buying my usual 1000ml. In fact the 1000ml bottle was on offer and actually cheaper than this 400ml.,2025-12-02 12:49:06+00:00,negative,0.8032124042510986,3,0.8034148
169930152,8156803-P,Yazoo Banana Milk Drink 400ml,milk,1,Overpriced yuk!,"This used to be addictive, thick and creamy and delicious, now it barely resembles a milk shake. Overpriced Yuk! I can't even finish the small bottles in the fridge, they are that unappetizing. It gets one star as it has no nasty additives or preservatives in it, so for that it gets one star.","Overpriced yuk!. This used to be addictive, thick and creamy and delicious, now it barely resembles a milk shake. Overpriced Yuk! I can't even finish the small bottles in the fridge, they are that unappetizing. It gets one star as it has no nasty additives or preservatives in it, so for that it gets one star.",2024-11-18 19:43:52+00:00,negative,0.8354480862617493,1,0.6121294
171550759,8169248-P,Chocomel Chocolate Milk Drink 750ml,milk,1,How much sugar in this? Why no info?,I am aware this is a tasty drink but am frustrated there is no information about sugar content... why not?,How much sugar in this? Why no info?. I am aware this is a tasty drink but am frustrated there is no information about sugar content... why not?,2025-01-22 19:12:52+00:00,negative,0.8143476247787476,2,0.6143735
178613073,8204867-P,Yazoo Banana Milk Drink 1L,milk,1,Disappointed,At least half of the products had a 1 day shelf life Large Camembert was not in stock and the small substitute I was offered I was told I would be charged for. Not good enough,Disappointed. At least half of the products had a 1 day shelf life Large Camembert was not in stock and the small substitute I was offered I was told I would be charged for. Not good enough,2025-12-23 15:34:19+00:00,negative,0.933618426322937,3,0.9518061
173547630,8204867-P,Yazoo Banana Milk Drink 1L,milk,2,False taste,Thought the banana flavour tasted very artificial. Not as good as banana flavour milkshake powder into real milk much better,False taste. Thought the banana flavour tasted very artificial. Not as good as banana flavour milkshake powder into real milk much better,2025-04-25 23:21:39+00:00,negative,0.882114589214325,2,0.70379055
170835515,8204867-P,Yazoo Banana Milk Drink 1L,milk,3,Weak flavor,TASTED WATERED DOWN COMPARED TO SAINSBURYS OWN BRAND,Weak flavor. TASTED WATERED DOWN COMPARED TO SAINSBURYS OWN BRAND,2024-12-24 18:02:45+00:00,negative,0.9207003116607666,4,0.3869653
173302652,8185718-P,"Sainsbury's White Chocolate & Raspberry Milk, Taste the Difference 750ml",milk,3,"Great taste, not so great packaging.","The adhesive used to seal the bottle is excessively strong, making the seal difficult to remove. Afterwards, there was a yellow-brown residue left on the rim of the bottle, which made me feel uncomfortable about drinking the contents. For this reason, I would not buy again, which is a shame because the milk itself was delicious.","Great taste, not so great packaging.. The adhesive used to seal the bottle is excessively strong, making the seal difficult to remove. Afterwards, there was a yellow-brown residue left on the rim of the bottle, which made me feel uncomfortable about drinking the contents. For this reason, I would not buy again, which is a shame because the milk itself was delicious.",2025-04-14 09:19:22+00:00,negative,0.8116870522499084,1,0.974254
173191433,8202555-P,Starbucks Frappuccino Caramel Flavoured Milk Iced Coffee No Added Sugar 250ml,milk,2,Add some sugar!,"This is the no added sugar version of a nice drinks, and it's really not anywhere near as nice. It has a very noticeable taste of sweetener and that spoils it for me","Add some sugar!. This is the no added sugar version of a nice drinks, and it's really not anywhere near as nice. It has a very noticeable taste of sweetener and that spoils it for me",2025-04-08 20:31:38+00:00,negative,0.8812059164047241,2,0.9546447
169664733,8202555-P,Starbucks Frappuccino Caramel Flavoured Milk Iced Coffee No Added Sugar 250ml,milk,3,Too Sweet,"It was far too sweet and tasted artificial. Not a great taste either, it didn’t seem if one natural product was in the drink.","Too Sweet. It was far too sweet and tasted artificial. Not a great taste either, it didn’t seem if one natural product was in the drink.",2024-11-06 09:15:10+00:00,negative,0.9216474890708924,2,0.75109416
174903707,6290865-P,Sainsbury's Chocolate Milkshake 1L,milk,1,Disgusting,"Always buy these never had an issue, will never buy again after finding a glue looking substance inside which I drank and spat out","Disgusting. Always buy these never had an issue, will never buy again after finding a glue looking substance inside which I drank and spat out",2025-07-10 14:13:31+00:00,negative,0.9315325617790222,0,0.6510841
166277136,6290865-P,Sainsbury's Chocolate Milkshake 1L,milk,1,Tasteless,"It's thick but it's not chocolatey. I'm not sure what's been used to thicken it, but it's just a coagulated mouthfeel without any real chocolate flavour so pretty disappointing. It's worth spending the extra on the udderly delicious brand over this one for sure.","Tasteless. It's thick but it's not chocolatey. I'm not sure what's been used to thicken it, but it's just a coagulated mouthfeel without any real chocolate flavour so pretty disappointing. It's worth spending the extra on the udderly delicious brand over this one for sure.",2024-06-16 17:41:21+00:00,negative,0.8905268311500549,4,0.5027316
179009230,6290851-P,Sainsbury's Strawberry Milkshake 1L,milk,1,No taste,Haven't bought this in a while but it now has no taste. I thought I may have bought from a bad batch but looking at other reviews it seems the product has been altered. Won't buy again.,No taste. Haven't bought this in a while but it now has no taste. I thought I may have bought from a bad batch but looking at other reviews it seems the product has been altered. Won't buy again.,2026-01-09 18:46:39+00:00,negative,0.9347404837608336,1,0.90155125
178854189,6290851-P,Sainsbury's Strawberry Milkshake 1L,milk,1,Strawberry milkshake,Usually have the strawberry milkshake every week and like the other reviews found that the texture and taste are awful now Please revert back to the lovely creamy milkshake it was not the chemical tasting one it has become.,Strawberry milkshake. Usually have the strawberry milkshake every week and like the other reviews found that the texture and taste are awful now Please revert back to the lovely creamy milkshake it was not the chemical tasting one it has become.,2026-01-04 11:39:54+00:00,negative,0.8505740761756897,1,0.82849514
178328009,6290851-P,Sainsbury's Strawberry Milkshake 1L,milk,1,not good,"This was really nice up until the last time we tried it, it just tastes weird now, no sign of strawberry flavour anymore just a strange chemical taste not good will not purchase again.","not good. This was really nice up until the last time we tried it, it just tastes weird now, no sign of strawberry flavour anymore just a strange chemical taste not good will not purchase again.",2025-12-11 21:14:44+00:00,negative,0.9046424031257628,0,0.36748344
178307137,6290851-P,Sainsbury's Strawberry Milkshake 1L,milk,1,Not right,What have you done? I have been buying this for years as it was the best strawberry flavoured milk on the market but recently it was unavailable and now it is back you have either changed the recipe or started using inferior ingredients. Now I have to dump 3 litres of it and go to Tesco. Please let me know when it is safe to buy it again,Not right. What have you done? I have been buying this for years as it was the best strawberry flavoured milk on the market but recently it was unavailable and now it is back you have either changed the recipe or started using inferior ingredients. Now I have to dump 3 litres of it and go to Tesco. Please let me know when it is safe to buy it again,2025-12-11 01:37:48+00:00,negative,0.8507071733474731,1,0.97167706
178280330,6290851-P,Sainsbury's Strawberry Milkshake 1L,milk,1,The new strawberry flavour is extremely unpleasant,"I buy 7 a week but the flavour has changed. The 1st time I threw away thinking it had gone off so opened another but the horrible taste is still there. It’s like a cherry cough medicine taste it’s vile. I very single carton tasted the same. So thought it must be a bad batch. Ordered 7 again the next week, same again really nasty taste. Ordered 7 the next week again and the nasty taste is still there. So the recipe has been changed. I will buy 1 this coming shopping and if the same again will cancel all milkshakes for the future. It’s really sad coz I used to love them. But this new taste is incredible vile & it’s hard to get rid of the taste after. I wouldn’t even give it 1 star but u have to, to leave feedback","The new strawberry flavour is extremely unpleasant. I buy 7 a week but the flavour has changed. The 1st time I threw away thinking it had gone off so opened another but the horrible taste is still there. It’s like a cherry cough medicine taste it’s vile. I very single carton tasted the same. So thought it must be a bad batch. Ordered 7 again the next week, same again really nasty taste. Ordered 7 the next week again and the nasty taste is still there. So the recipe has been changed. I will buy 1 this coming shopping and if the same again will cancel all milkshakes for the future. It’s really sad coz I used to love them. But this new taste is incredible vile & it’s hard to get rid of the taste after. I wouldn’t even give it 1 star but u have to, to leave feedback",2025-12-10 00:23:36+00:00,negative,0.915715217590332,1,0.5519021
178060869,6290851-P,Sainsbury's Strawberry Milkshake 1L,milk,1,Weird taste.,"I buy this every time I shop here, but the last one I had didn't taste very nice, I don't know if it was a bad batch but it had a weird taste. Hopefully a one off because I do like Sainsbury's milkshak.","Weird taste.. I buy this every time I shop here, but the last one I had didn't taste very nice, I don't know if it was a bad batch but it had a weird taste. Hopefully a one off because I do like Sainsbury's milkshak.",2025-12-02 10:24:26+00:00,negative,0.8017632961273193,1,0.69944155
